Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
35,30,2022-12-27,27-183,WAS,,PHI,W (+5),1,29:45,3,9,.333,0,3,.000,2,2,1.000,1,3,4,7,0,0,1,4,8,6.8,+6
36,31,2022-12-28,27-184,WAS,,PHO,W (+25),1,30:33,4,8,.500,1,2,.500,3,3,1.000,1,5,6,8,0,0,0,2,12,15.0,+10
37,32,2022-12-30,27-186,WAS,@,ORL,W (+19),1,27:45,4,5,.800,1,2,.500,3,4,.750,0,3,3,10,1,0,2,1,12,16.2,+21
38,33,2023-01-01,27-188,WAS,@,MIL,W (+23),1,25:18,3,7,.429,1,5,.200,0,0,,0,3,3,4,0,1,2,0,7,5.7,+7
39,34,2023-01-03,27-190,WAS,@,MIL,L (-10),1,29:45,3,9,.333,1,3,.333,1,1,1.000,2,6,8,6,1,0,0,1,8,10.9,-9
40,35,2023-01-06,27-193,WAS,@,OKC,L (-17),1,25:56,4,8,.500,1,3,.333,1,2,.500,0,2,2,3,0,0,2,1,10,5.9,-14
41,36,2023-01-09,27-196,WAS,,NOP,L (-20),1,26:31,6,8,.750,1,2,.500,0,0,,0,1,1,9,0,0,3,0,13,13.4,-12
42,37,2023-01-11,27-198,WAS,,CHI,W (+3),1,28:34,7,13,.538,1,3,.333,2,2,1.000,0,2,2,3,0,0,1,0,17,12.4,+7
43,,2023-01-13,27-200,WAS,,NYK,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,38,2023-01-16,27-203,WAS,,GSW,L (-9),1,31:16,6,13,.462,3,4,.750,2,2,1.000,0,4,4,10,2,0,1,4,17,17.9,-3
45,39,2023-01-18,27-205,WAS,@,NYK,W (+11),1,30:46,5,10,.500,3,6,.500,0,0,,2,5,7,5,0,1,0,3,13,13.9,+17
46,40,2023-01-21,27-208,WAS,,ORL,W (+20),1,24:06,4,5,.800,2,3,.667,0,0,,0,1,1,6,1,0,0,0,10,13.6,0
47,41,2023-01-24,27-211,WAS,@,DAL,W (+1),1,27:09,5,9,.556,1,3,.333,2,2,1.000,0,3,3,5,0,0,0,0,13,13.1,+3
48,,2023-01-25,27-212,WAS,@,HOU,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,42,2023-01-28,27-215,WAS,@,NOP,W (+10),1,27:45,2,7,.286,0,3,.000,6,6,1.000,0,3,3,0,1,0,0,1,10,7.4,+6
50,43,2023-01-30,27-217,WAS,@,SAS,W (+21),1,24:19,4,6,.667,3,4,.750,0,0,,1,1,2,4,0,0,1,1,11,10.8,+11
51,44,2023-02-03,27-221,WAS,,POR,L (-8),1,26:45,3,5,.600,1,3,.333,0,0,,0,1,1,6,0,0,3,0,7,6.2,-2
52,45,2023-02-04,27-222,WAS,@,BRK,L (-2),1,33:19,7,14,.500,2,5,.400,2,4,.500,1,4,5,8,2,0,2,4,18,16.1,-1
53,46,2023-02-06,27-224,WAS,,CLE,L (-23),1,22:28,4,8,.500,2,4,.500,0,0,,0,3,3,7,1,0,2,0,10,10.8,-23
54,,2023-02-08,27-226,WAS,,CHO,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,47,2023-02-11,27-229,WAS,,IND,W (+14),1,27:19,7,10,.700,0,2,.000,3,3,1.000,1,5,6,4,1,0,1,0,17,17.8,+5
56,48,2023-02-13,27-231,WAS,@,GSW,L (-9),1,28:34,3,6,.500,2,3,.667,0,0,,0,2,2,5,1,0,1,1,8,8.7,-10
57,49,2023-02-14,27-232,WAS,@,POR,W (+25),1,27:45,2,5,.400,2,3,.667,0,0,,1,6,7,4,0,0,1,0,6,7.6,+5
58,50,2023-02-16,27-234,WAS,@,MIN,W (+8),1,21:12,2,5,.400,0,1,.000,1,1,1.000,0,4,4,6,0,0,1,1,5,6.3,-19
59,51,2023-02-24,27-242,WAS,,NYK,L (-6),1,27:07,5,8,.625,2,3,.667,0,0,,0,2,2,2,1,0,1,4,12,8.8,-13
60,,2023-02-26,27-244,WAS,@,CHI,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
61,,2023-02-28,27-246,WAS,@,ATL,W (+3),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
62,,2023-03-02,27-248,WAS,,TOR,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
