Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
31,24,2022-12-18,24-056,WAS,@,LAL,L (-2),0,19:04,3,5,.600,0,1,.000,1,1,1.000,0,7,7,5,0,0,0,2,7,9.5,+10
32,25,2022-12-20,24-058,WAS,@,PHO,W (+3),0,11:37,1,5,.200,0,1,.000,0,0,,0,3,3,0,0,0,0,2,2,-1.0,-8
33,26,2022-12-22,24-060,WAS,@,UTA,L (-8),0,15:46,5,9,.556,1,2,.500,0,0,,0,5,5,2,0,1,2,2,11,7.5,-9
34,,2022-12-23,24-061,WAS,@,SAC,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,,2022-12-27,24-065,WAS,,PHI,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
36,27,2022-12-28,24-066,WAS,,PHO,W (+25),0,1:58,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,2,0,-0.8,+1
37,28,2022-12-30,24-068,WAS,@,ORL,W (+19),0,2:30,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,0.3,0
38,29,2023-01-01,24-070,WAS,@,MIL,W (+23),0,3:51,1,1,1.000,0,0,,0,0,,1,1,2,1,0,1,0,0,2,4.1,0
39,30,2023-01-03,24-072,WAS,@,MIL,L (-10),0,1:23,0,0,,0,0,,2,2,1.000,0,1,1,2,0,0,0,0,2,3.7,+4
40,31,2023-01-06,24-075,WAS,@,OKC,L (-17),0,21:48,4,6,.667,1,2,.500,0,0,,1,1,2,1,1,1,2,2,9,7.0,0
41,32,2023-01-09,24-078,WAS,,NOP,L (-20),0,17:25,1,1,1.000,1,1,1.000,1,2,.500,0,1,1,4,2,0,3,3,4,4.2,-9
42,33,2023-01-11,24-080,WAS,,CHI,W (+3),0,13:46,2,6,.333,2,3,.667,0,0,,0,0,0,2,0,1,1,3,6,2.5,+3
43,34,2023-01-13,24-082,WAS,,NYK,L (-4),1,25:49,2,12,.167,1,5,.200,0,0,,1,4,5,3,1,1,0,3,5,1.9,-20
44,35,2023-01-16,24-085,WAS,,GSW,L (-9),0,14:24,1,2,.500,0,1,.000,1,1,1.000,0,2,2,1,1,0,0,1,3,3.9,-7
45,,2023-01-18,24-087,WAS,@,NYK,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
46,,2023-01-21,24-090,WAS,,ORL,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,,2023-01-24,24-093,WAS,@,DAL,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
48,36,2023-01-25,24-094,WAS,@,HOU,W (+5),0,14:34,1,4,.250,1,1,1.000,2,2,1.000,0,1,1,2,2,0,0,0,5,6.3,+16
49,,2023-01-28,24-097,WAS,@,NOP,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
50,,2023-01-30,24-099,WAS,@,SAS,W (+21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,,2023-02-03,24-103,WAS,,POR,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
52,37,2023-02-04,24-104,WAS,@,BRK,L (-2),0,13:00,3,3,1.000,0,0,,2,2,1.000,0,3,3,1,1,0,0,0,8,9.7,-6
53,38,2023-02-06,24-106,WAS,,CLE,L (-23),0,10:23,0,3,.000,0,1,.000,1,2,.500,0,0,0,0,1,0,0,1,1,-0.9,-9
54,39,2023-02-08,24-108,WAS,,CHO,W (+14),0,17:08,2,6,.333,0,1,.000,0,0,,1,1,2,0,1,2,1,2,4,2.2,+10
