Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
25,13,2022-12-07,37-166,WAS,@,CHI,L (-4),0,10:10,2,3,.667,1,2,.500,0,2,.000,1,2,3,0,0,0,1,1,5,2.8,+8
26,14,2022-12-09,37-168,WAS,@,IND,L (-10),0,8:59,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-2.9,-3
27,15,2022-12-10,37-169,WAS,,LAC,L (-7),0,2:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-5
28,16,2022-12-12,37-171,WAS,,BRK,L (-12),0,4:55,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-1
29,17,2022-12-14,37-173,WAS,@,DEN,L (-13),1,17:57,2,5,.400,1,3,.333,3,4,.750,1,1,2,2,2,1,0,6,8,7.6,-11
30,,2022-12-17,37-176,WAS,@,LAC,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
31,18,2022-12-18,37-177,WAS,@,LAL,L (-2),0,3:46,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,-7
32,19,2022-12-20,37-179,WAS,@,PHO,W (+3),0,18:36,2,2,1.000,0,0,,2,2,1.000,0,2,2,1,2,1,1,5,6,6.4,+8
33,20,2022-12-22,37-181,WAS,@,UTA,L (-8),0,25:02,3,3,1.000,0,0,,0,0,,0,4,4,1,1,0,0,3,6,6.8,-3
34,21,2022-12-23,37-182,WAS,@,SAC,W (+14),0,13:04,4,6,.667,0,1,.000,0,2,.000,1,1,2,0,0,0,2,6,8,1.2,+3
35,22,2022-12-27,37-186,WAS,,PHI,W (+5),0,14:23,3,4,.750,0,0,,1,1,1.000,2,1,3,2,0,1,1,4,7,6.6,0
36,23,2022-12-28,37-187,WAS,,PHO,W (+25),0,9:44,3,5,.600,0,1,.000,1,1,1.000,1,1,2,1,1,1,1,1,7,6.7,-2
37,,2022-12-30,37-189,WAS,@,ORL,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
