Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
32,,2022-12-23,27-142,LAL,,CHO,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
33,27,2022-12-25,27-144,LAL,@,DAL,L (-9),0,2:32,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,+7
34,28,2022-12-27,27-146,LAL,@,ORL,W (+19),0,1:38,2,2,1.000,2,2,1.000,0,0,,0,1,1,0,0,0,0,0,6,5.7,+4
35,,2022-12-28,27-147,LAL,@,MIA,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
36,,2022-12-30,27-149,LAL,@,ATL,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
37,29,2023-01-02,27-152,LAL,@,CHO,W (+6),0,5:51,2,5,.400,1,3,.333,0,0,,0,1,1,0,0,0,0,1,5,2.2,-4
38,30,2023-01-04,27-154,LAL,,MIA,W (+3),0,14:34,4,9,.444,1,3,.333,0,0,,2,1,3,0,0,0,0,0,9,6.0,-6
39,31,2023-01-06,27-156,LAL,,ATL,W (+16),0,26:53,9,16,.563,3,7,.429,2,2,1.000,0,3,3,2,1,0,0,1,23,18.3,+9
40,32,2023-01-07,27-157,LAL,@,SAC,W (+2),0,13:32,1,3,.333,0,1,.000,0,0,,0,0,0,0,1,0,1,0,2,0.3,-5
41,33,2023-01-09,27-159,LAL,@,DEN,L (-13),0,23:55,6,15,.400,2,7,.286,1,2,.500,1,0,1,1,3,0,2,3,15,7.7,-4
