Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
30,,2022-12-17,29-172,WAS,@,LAC,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,19,2022-12-18,29-173,WAS,@,LAL,L (-2),1,31:39,9,17,.529,0,3,.000,11,13,.846,1,1,2,3,0,0,3,3,29,18.8,+1
32,20,2022-12-20,29-175,WAS,@,PHO,W (+3),1,35:17,8,20,.400,0,2,.000,11,14,.786,2,4,6,6,1,1,2,1,27,21.1,+25
33,21,2022-12-22,29-177,WAS,@,UTA,L (-8),1,31:05,13,20,.650,0,3,.000,4,4,1.000,1,4,5,5,0,0,2,2,30,23.8,+4
34,22,2022-12-23,29-178,WAS,@,SAC,W (+14),1,34:13,10,16,.625,2,4,.500,2,3,.667,0,1,1,4,1,0,3,2,24,16.7,+5
35,23,2022-12-27,29-182,WAS,,PHI,W (+5),1,29:52,8,15,.533,3,5,.600,0,0,,1,0,1,5,0,2,3,1,19,13.9,+1
36,,2022-12-28,29-183,WAS,,PHO,W (+25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,,2022-12-30,29-185,WAS,@,ORL,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,,2023-01-01,29-187,WAS,@,MIL,W (+23),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
39,24,2023-01-03,29-189,WAS,@,MIL,L (-10),1,13:18,3,7,.429,0,1,.000,2,2,1.000,1,0,1,4,2,0,2,0,8,7.8,+4
40,,2023-01-06,29-192,WAS,@,OKC,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,,2023-01-09,29-195,WAS,,NOP,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,,2023-01-11,29-197,WAS,,CHI,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,,2023-01-13,29-199,WAS,,NYK,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,,2023-01-16,29-202,WAS,,GSW,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
45,25,2023-01-18,29-204,WAS,@,NYK,W (+11),1,28:39,7,11,.636,1,1,1.000,3,3,1.000,1,3,4,4,0,1,2,0,18,16.2,+11
46,26,2023-01-21,29-207,WAS,,ORL,W (+20),1,27:49,7,14,.500,2,3,.667,1,1,1.000,1,3,4,8,0,0,1,3,17,15.0,-1
47,27,2023-01-24,29-210,WAS,@,DAL,W (+1),1,30:09,7,17,.412,2,2,1.000,6,9,.667,0,0,0,4,0,1,2,5,22,11.2,-2
48,28,2023-01-25,29-211,WAS,@,HOU,W (+5),1,29:39,7,17,.412,0,3,.000,3,4,.750,0,3,3,4,0,0,2,0,17,9.2,-5
49,29,2023-01-28,29-214,WAS,@,NOP,W (+10),1,32:31,5,17,.294,2,6,.333,4,5,.800,1,3,4,5,0,1,5,1,16,6.1,+14
50,30,2023-01-30,29-216,WAS,@,SAS,W (+21),1,29:50,8,14,.571,3,6,.500,2,2,1.000,0,7,7,7,0,2,2,1,21,20.4,+13
51,31,2023-02-03,29-220,WAS,,POR,L (-8),1,32:18,14,25,.560,4,10,.400,2,2,1.000,3,0,3,1,0,0,1,3,34,22.7,0
52,,2023-02-04,29-221,WAS,@,BRK,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,,2023-02-06,29-223,WAS,,CLE,L (-23),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
54,32,2023-02-08,29-225,WAS,,CHO,W (+14),1,32:33,7,15,.467,1,5,.200,2,2,1.000,0,4,4,10,1,3,3,2,17,16.8,+12
55,33,2023-02-11,29-228,WAS,,IND,W (+14),1,31:00,13,18,.722,4,5,.800,2,2,1.000,1,3,4,6,1,1,5,4,32,25.5,+13
56,34,2023-02-13,29-230,WAS,@,GSW,L (-9),1,34:36,13,23,.565,3,8,.375,4,5,.800,1,2,3,4,1,0,4,2,33,22.0,-16
57,35,2023-02-14,29-231,WAS,@,POR,W (+25),1,32:53,7,15,.467,1,5,.200,4,5,.800,0,2,2,4,1,0,2,2,19,12.5,+8
58,36,2023-02-16,29-233,WAS,@,MIN,W (+8),1,34:40,14,28,.500,4,8,.500,3,3,1.000,1,5,6,5,3,0,4,2,35,24.9,+2
59,37,2023-02-24,29-241,WAS,,NYK,L (-6),1,35:27,6,14,.429,1,4,.250,3,3,1.000,0,2,2,8,1,2,5,4,16,10.6,-1
60,38,2023-02-26,29-243,WAS,@,CHI,L (-20),1,36:38,7,17,.412,1,3,.333,3,7,.429,1,6,7,8,0,0,3,0,18,12.4,0
61,39,2023-02-28,29-245,WAS,@,ATL,W (+3),1,35:01,17,30,.567,1,4,.250,2,2,1.000,0,3,3,7,1,0,2,2,37,26.8,+3
62,40,2023-03-02,29-247,WAS,,TOR,W (+11),1,35:25,5,14,.357,3,4,.750,2,3,.667,0,5,5,5,0,0,4,3,15,6.6,-8
63,41,2023-03-04,29-249,WAS,,TOR,L (-7),1,41:53,7,22,.318,2,3,.667,5,6,.833,2,2,4,10,0,2,5,0,21,13.4,+4
64,42,2023-03-05,29-250,WAS,,MIL,L (-6),1,35:01,15,32,.469,0,5,.000,3,3,1.000,2,7,9,2,1,0,2,5,33,18.5,-13
65,43,2023-03-07,29-252,WAS,@,DET,W (+2),1,37:54,14,21,.667,1,2,.500,3,5,.600,1,6,7,7,1,1,4,1,32,26.8,+2
66,44,2023-03-08,29-253,WAS,,ATL,L (-2),1,36:44,8,19,.421,0,2,.000,8,9,.889,1,2,3,8,3,1,5,3,24,17.9,+3
67,45,2023-03-10,29-255,WAS,,ATL,L (-7),1,37:16,11,24,.458,1,5,.200,4,4,1.000,1,5,6,5,2,1,2,3,27,19.8,-1
68,46,2023-03-12,29-257,WAS,@,PHI,L (-19),1,29:17,5,12,.417,0,2,.000,3,3,1.000,0,1,1,4,1,1,2,3,13,8.2,-13
69,47,2023-03-14,29-259,WAS,,DET,W (+20),1,32:59,13,15,.867,4,6,.667,6,6,1.000,0,6,6,7,2,1,3,3,36,35.9,+38
70,48,2023-03-17,29-262,WAS,@,CLE,L (-23),1,32:55,8,18,.444,1,3,.333,5,7,.714,1,7,8,5,1,1,3,3,22,15.6,-7
71,49,2023-03-18,29-263,WAS,,SAC,L (-14),1,32:09,8,17,.471,2,4,.500,2,2,1.000,0,3,3,2,0,0,4,3,20,8.4,-19
72,50,2023-03-21,29-266,WAS,@,ORL,L (-10),1,31:26,4,15,.267,0,4,.000,8,10,.800,2,3,5,7,0,0,2,6,16,9.1,-10
73,,2023-03-22,29-267,WAS,,DEN,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
74,,2023-03-24,29-269,WAS,,SAS,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
75,,2023-03-26,29-271,WAS,@,TOR,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
76,,2023-03-28,29-273,WAS,,BOS,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
77,,2023-03-31,29-276,WAS,,ORL,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
78,,2023-04-02,29-278,WAS,@,NYK,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
79,,2023-04-04,29-280,WAS,,MIL,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
80,,2023-04-05,29-281,WAS,@,ATL,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
81,,2023-04-07,29-283,WAS,,MIA,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
82,,2023-04-09,29-285,WAS,,HOU,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
