MP,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Date,TSA,TS,Player_Name
37.0,1.0,8.0,14.0,0.571,2.0,3.0,0.667,9.0,14.0,0.643,4.0,15.0,19.0,0.0,1.0,2.0,2.0,2.0,27.0,25.3,2022-11-30,0.6696428571428571,28.0,kristaps_porzingis
36.0,1.0,5.0,14.0,0.357,0.0,6.0,0.0,11.0,13.0,0.846,4.0,7.0,11.0,3.0,1.0,1.0,4.0,3.0,21.0,15.9,2022-12-02,0.5324543610547667,27.0,kristaps_porzingis
33.0,1.0,11.0,25.0,0.44,1.0,6.0,0.167,4.0,6.0,0.667,1.0,8.0,9.0,3.0,2.0,1.0,0.0,2.0,27.0,20.2,2022-12-04,0.48842257597684513,31.0,kristaps_porzingis
34.0,1.0,8.0,17.0,0.471,0.0,6.0,0.0,12.0,16.0,0.75,1.0,8.0,9.0,4.0,2.0,2.0,5.0,4.0,28.0,20.4,2022-12-07,0.5823627287853578,33.0,kristaps_porzingis
34.0,1.0,11.0,13.0,0.846,1.0,2.0,0.5,6.0,8.0,0.75,2.0,7.0,9.0,2.0,0.0,2.0,4.0,1.0,29.0,25.4,2022-12-09,0.87772397094431,21.0,kristaps_porzingis
37.0,1.0,8.0,20.0,0.4,2.0,4.0,0.5,12.0,13.0,0.923,0.0,15.0,15.0,5.0,0.0,2.0,3.0,3.0,30.0,24.0,2022-12-10,0.583203732503888,33.0,kristaps_porzingis
24.0,1.0,7.0,11.0,0.636,0.0,1.0,0.0,6.0,6.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,5.0,2.0,20.0,13.6,2022-12-12,0.7331378299120235,17.0,kristaps_porzingis
35.0,1.0,8.0,19.0,0.421,0.0,3.0,0.0,3.0,4.0,0.75,1.0,6.0,7.0,2.0,4.0,0.0,2.0,2.0,19.0,13.6,2022-12-17,0.4576107899807321,23.0,kristaps_porzingis
37.0,1.0,7.0,18.0,0.389,2.0,9.0,0.222,5.0,7.0,0.714,4.0,7.0,11.0,5.0,2.0,1.0,2.0,2.0,21.0,18.7,2022-12-18,0.49810246679316894,25.0,kristaps_porzingis
34.0,1.0,2.0,11.0,0.182,0.0,3.0,0.0,3.0,5.0,0.6,2.0,11.0,13.0,1.0,1.0,2.0,0.0,3.0,7.0,5.9,2022-12-23,0.26515151515151514,16.0,kristaps_porzingis
34.0,1.0,7.0,15.0,0.467,3.0,5.0,0.6,7.0,9.0,0.778,3.0,7.0,10.0,1.0,2.0,3.0,2.0,2.0,24.0,21.7,2022-12-27,0.6329113924050632,24.0,kristaps_porzingis
33.0,1.0,8.0,15.0,0.533,2.0,6.0,0.333,4.0,4.0,1.0,1.0,5.0,6.0,2.0,1.0,1.0,3.0,2.0,22.0,16.2,2022-12-28,0.6563245823389021,19.0,kristaps_porzingis
35.0,1.0,9.0,13.0,0.692,3.0,6.0,0.5,9.0,11.0,0.818,2.0,11.0,13.0,2.0,1.0,4.0,5.0,4.0,30.0,27.0,2022-12-30,0.8408071748878924,24.0,kristaps_porzingis
29.0,1.0,9.0,16.0,0.563,0.0,5.0,0.0,4.0,4.0,1.0,1.0,4.0,5.0,0.0,2.0,2.0,2.0,3.0,22.0,16.5,2023-01-01,0.6193693693693693,20.0,kristaps_porzingis
34.0,1.0,7.0,13.0,0.538,2.0,5.0,0.4,6.0,6.0,1.0,1.0,8.0,9.0,4.0,1.0,1.0,3.0,5.0,22.0,18.3,2023-01-03,0.7033248081841432,19.0,kristaps_porzingis
24.0,1.0,3.0,11.0,0.273,0.0,2.0,0.0,8.0,10.0,0.8,3.0,7.0,10.0,0.0,0.0,0.0,3.0,0.0,14.0,7.9,2023-01-06,0.45454545454545453,21.0,kristaps_porzingis
33.0,1.0,8.0,16.0,0.5,3.0,5.0,0.6,4.0,4.0,1.0,3.0,7.0,10.0,1.0,0.0,0.0,1.0,0.0,23.0,18.9,2023-01-09,0.6475225225225225,20.0,kristaps_porzingis
34.0,1.0,6.0,19.0,0.316,4.0,8.0,0.5,5.0,6.0,0.833,1.0,3.0,4.0,1.0,0.0,0.0,2.0,4.0,21.0,8.4,2023-01-13,0.4852125693160813,25.0,kristaps_porzingis
36.0,1.0,9.0,15.0,0.6,3.0,7.0,0.429,11.0,12.0,0.917,0.0,5.0,5.0,3.0,1.0,2.0,1.0,3.0,32.0,28.5,2023-01-16,0.7889546351084812,27.0,kristaps_porzingis
32.0,1.0,6.0,17.0,0.353,4.0,9.0,0.444,6.0,6.0,1.0,5.0,6.0,11.0,5.0,0.0,2.0,3.0,6.0,22.0,17.3,2023-01-18,0.560081466395112,23.0,kristaps_porzingis
22.0,1.0,3.0,10.0,0.3,1.0,3.0,0.333,10.0,10.0,1.0,1.0,5.0,6.0,0.0,0.0,1.0,2.0,2.0,17.0,11.3,2023-01-21,0.5902777777777778,20.0,kristaps_porzingis
30.0,1.0,7.0,13.0,0.538,1.0,3.0,0.333,2.0,2.0,1.0,1.0,8.0,9.0,7.0,3.0,5.0,2.0,5.0,17.0,21.2,2023-01-30,0.6123919308357348,15.0,kristaps_porzingis
35.0,1.0,9.0,15.0,0.6,3.0,6.0,0.5,11.0,12.0,0.917,0.0,8.0,8.0,4.0,0.0,1.0,1.0,5.0,32.0,27.6,2023-02-03,0.7889546351084812,27.0,kristaps_porzingis
32.0,1.0,11.0,20.0,0.55,4.0,5.0,0.8,12.0,13.0,0.923,1.0,4.0,5.0,2.0,0.0,2.0,5.0,6.0,38.0,25.3,2023-02-04,0.7387247278382582,33.0,kristaps_porzingis
26.0,1.0,7.0,13.0,0.538,1.0,6.0,0.167,3.0,3.0,1.0,1.0,6.0,7.0,1.0,0.0,1.0,2.0,3.0,18.0,12.4,2023-02-06,0.6284916201117319,16.0,kristaps_porzingis
35.0,1.0,13.0,22.0,0.591,8.0,14.0,0.571,2.0,3.0,0.667,2.0,7.0,9.0,2.0,0.0,2.0,1.0,2.0,36.0,29.9,2023-02-08,0.7718696397941681,25.0,kristaps_porzingis
32.0,1.0,4.0,8.0,0.5,1.0,3.0,0.333,8.0,8.0,1.0,4.0,6.0,10.0,5.0,0.0,1.0,0.0,2.0,17.0,21.0,2023-02-11,0.7378472222222222,16.0,kristaps_porzingis
35.0,1.0,12.0,16.0,0.75,2.0,3.0,0.667,8.0,8.0,1.0,1.0,6.0,7.0,2.0,1.0,0.0,4.0,1.0,34.0,28.1,2023-02-13,0.8709016393442623,24.0,kristaps_porzingis
29.0,1.0,10.0,15.0,0.667,1.0,3.0,0.333,7.0,7.0,1.0,3.0,9.0,12.0,5.0,0.0,1.0,4.0,5.0,28.0,24.5,2023-02-14,0.7743362831858408,22.0,kristaps_porzingis
31.0,1.0,4.0,12.0,0.333,1.0,3.0,0.333,5.0,7.0,0.714,0.0,5.0,5.0,2.0,2.0,2.0,0.0,3.0,14.0,11.5,2023-02-16,0.46419098143236076,19.0,kristaps_porzingis
35.0,1.0,5.0,10.0,0.5,5.0,9.0,0.556,8.0,8.0,1.0,1.0,5.0,6.0,3.0,0.0,2.0,3.0,2.0,23.0,19.9,2023-02-24,0.8505917159763314,18.0,kristaps_porzingis
35.0,1.0,8.0,12.0,0.667,2.0,4.0,0.5,7.0,7.0,1.0,1.0,4.0,5.0,2.0,1.0,2.0,4.0,4.0,25.0,19.9,2023-03-02,0.8289124668435013,19.0,kristaps_porzingis
39.0,1.0,9.0,14.0,0.643,2.0,2.0,1.0,2.0,3.0,0.667,1.0,10.0,11.0,4.0,2.0,2.0,3.0,1.0,22.0,21.9,2023-03-04,0.7180156657963447,17.0,kristaps_porzingis
36.0,1.0,11.0,29.0,0.379,1.0,8.0,0.125,1.0,1.0,1.0,5.0,8.0,13.0,5.0,0.0,2.0,1.0,4.0,24.0,16.3,2023-03-05,0.4076086956521739,30.0,kristaps_porzingis
31.0,1.0,8.0,15.0,0.533,3.0,7.0,0.429,5.0,6.0,0.833,4.0,3.0,7.0,2.0,0.0,0.0,1.0,6.0,24.0,18.0,2023-03-07,0.6802721088435374,21.0,kristaps_porzingis
37.0,1.0,17.0,22.0,0.773,7.0,10.0,0.7,2.0,3.0,0.667,0.0,5.0,5.0,5.0,0.0,0.0,1.0,5.0,43.0,36.0,2023-03-08,0.9219554030874786,25.0,kristaps_porzingis
31.0,1.0,8.0,18.0,0.444,3.0,7.0,0.429,3.0,5.0,0.6,0.0,9.0,9.0,0.0,1.0,2.0,2.0,4.0,22.0,13.3,2023-03-10,0.5445544554455446,23.0,kristaps_porzingis
25.0,1.0,4.0,15.0,0.267,0.0,3.0,0.0,1.0,2.0,0.5,1.0,5.0,6.0,1.0,1.0,2.0,1.0,4.0,9.0,2.4,2023-03-12,0.28337531486146095,17.0,kristaps_porzingis
30.0,1.0,5.0,15.0,0.333,0.0,6.0,0.0,8.0,8.0,1.0,1.0,6.0,7.0,4.0,3.0,4.0,1.0,2.0,18.0,18.8,2023-03-14,0.4859611231101512,23.0,kristaps_porzingis
31.0,1.0,7.0,16.0,0.438,1.0,5.0,0.2,5.0,5.0,1.0,0.0,9.0,9.0,3.0,2.0,2.0,4.0,1.0,20.0,15.4,2023-03-17,0.5494505494505495,21.0,kristaps_porzingis
38.0,1.0,12.0,22.0,0.545,3.0,7.0,0.429,3.0,3.0,1.0,1.0,5.0,6.0,3.0,1.0,2.0,2.0,3.0,30.0,22.9,2023-03-21,0.6432246998284734,25.0,kristaps_porzingis
22.0,1.0,11.0,17.0,0.647,1.0,3.0,0.333,2.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,3.0,25.0,17.6,2023-03-22,0.6991051454138703,19.0,kristaps_porzingis
27.0,1.0,7.0,11.0,0.636,2.0,3.0,0.667,7.0,7.0,1.0,1.0,8.0,9.0,5.0,0.0,3.0,1.0,0.0,23.0,25.8,2023-03-24,0.8167613636363636,18.0,kristaps_porzingis
33.0,1.0,9.0,17.0,0.529,4.0,7.0,0.571,4.0,5.0,0.8,1.0,5.0,6.0,2.0,2.0,0.0,3.0,2.0,26.0,19.1,2023-03-26,0.6770833333333334,22.0,kristaps_porzingis
33.0,1.0,14.0,21.0,0.667,3.0,5.0,0.6,1.0,1.0,1.0,2.0,11.0,13.0,6.0,1.0,1.0,0.0,1.0,32.0,33.1,2023-03-28,0.7462686567164178,22.0,kristaps_porzingis
37.0,1.0,9.0,17.0,0.529,2.0,7.0,0.286,3.0,3.0,1.0,2.0,3.0,5.0,6.0,0.0,1.0,3.0,2.0,23.0,18.1,2022-10-19,0.6277292576419213,20.0,bradley_beal
36.0,1.0,9.0,14.0,0.643,1.0,2.0,0.5,0.0,0.0,,0.0,1.0,1.0,8.0,0.0,2.0,5.0,2.0,19.0,14.3,2022-10-21,0.6785714285714286,14.0,bradley_beal
41.0,1.0,11.0,16.0,0.688,0.0,1.0,0.0,5.0,7.0,0.714,1.0,3.0,4.0,5.0,2.0,0.0,6.0,3.0,27.0,19.3,2022-10-23,0.7075471698113208,23.0,bradley_beal
21.0,1.0,4.0,9.0,0.444,1.0,4.0,0.25,4.0,4.0,1.0,1.0,3.0,4.0,6.0,0.0,0.0,2.0,2.0,13.0,11.3,2022-10-25,0.604089219330855,13.0,bradley_beal
37.0,1.0,11.0,18.0,0.611,2.0,5.0,0.4,7.0,7.0,1.0,2.0,5.0,7.0,4.0,3.0,1.0,2.0,3.0,31.0,29.0,2022-10-28,0.7352941176470589,25.0,bradley_beal
37.0,1.0,4.0,16.0,0.25,2.0,7.0,0.286,2.0,2.0,1.0,0.0,1.0,1.0,8.0,1.0,1.0,1.0,0.0,12.0,9.0,2022-10-30,0.35545023696682465,18.0,bradley_beal
37.0,1.0,7.0,18.0,0.389,2.0,6.0,0.333,4.0,4.0,1.0,0.0,5.0,5.0,6.0,0.0,1.0,4.0,3.0,20.0,11.4,2022-10-31,0.5060728744939271,22.0,bradley_beal
36.0,1.0,11.0,17.0,0.647,1.0,2.0,0.5,6.0,7.0,0.857,0.0,2.0,2.0,5.0,0.0,0.0,1.0,2.0,29.0,23.4,2022-11-02,0.7221115537848606,24.0,bradley_beal
29.0,1.0,8.0,18.0,0.444,2.0,6.0,0.333,2.0,2.0,1.0,0.0,3.0,3.0,3.0,2.0,1.0,0.0,1.0,20.0,15.9,2022-11-04,0.5296610169491526,20.0,bradley_beal
37.0,1.0,9.0,19.0,0.474,2.0,4.0,0.5,5.0,5.0,1.0,2.0,4.0,6.0,6.0,1.0,1.0,1.0,1.0,25.0,22.4,2022-11-16,0.589622641509434,24.0,bradley_beal
48.0,1.0,9.0,18.0,0.5,5.0,9.0,0.556,4.0,4.0,1.0,0.0,2.0,2.0,8.0,1.0,0.0,7.0,2.0,27.0,17.4,2022-11-18,0.6831983805668016,22.0,bradley_beal
40.0,1.0,11.0,21.0,0.524,3.0,7.0,0.429,1.0,2.0,0.5,0.0,4.0,4.0,5.0,5.0,0.0,5.0,4.0,26.0,18.4,2022-11-20,0.5941499085923218,23.0,bradley_beal
37.0,1.0,11.0,20.0,0.55,4.0,7.0,0.571,2.0,3.0,0.667,2.0,3.0,5.0,5.0,1.0,3.0,1.0,3.0,28.0,24.7,2022-11-25,0.6566604127579737,23.0,bradley_beal
34.0,1.0,11.0,19.0,0.579,0.0,3.0,0.0,8.0,9.0,0.889,1.0,4.0,5.0,4.0,2.0,0.0,2.0,1.0,30.0,25.0,2022-11-27,0.6533101045296167,28.0,bradley_beal
34.0,1.0,9.0,14.0,0.643,1.0,4.0,0.25,3.0,3.0,1.0,0.0,1.0,1.0,5.0,2.0,0.0,3.0,3.0,22.0,17.4,2022-11-28,0.7180156657963447,17.0,bradley_beal
38.0,1.0,9.0,20.0,0.45,1.0,6.0,0.167,6.0,9.0,0.667,3.0,2.0,5.0,6.0,0.0,0.0,5.0,0.0,25.0,15.3,2022-11-30,0.5217028380634391,29.0,bradley_beal
