MP,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Date,TSA,TS,Player_Name,percentage_of_TS
14.0,0.0,1.0,4.0,0.25,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,5.0,6.3,2023-01-25,0.5122950819672131,6.0,jordan_goodwin,0.19047619047619047
17.0,0.0,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,4.0,2.2,2023-02-08,0.3333333333333333,6.0,jordan_goodwin,0.19699042407660738
18.0,0.0,2.0,3.0,0.667,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0,2.0,6.0,9.4,2023-02-28,0.7731958762886598,5.0,jordan_goodwin,0.11396011396011396
12.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,,2.0,3.0,5.0,1.0,0.0,0.0,2.0,1.0,5.0,4.3,2023-03-02,0.8333333333333334,3.0,jordan_goodwin,0.11214953271028037
20.0,0.0,3.0,4.0,0.75,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,7.0,6.1,2023-03-04,0.7882882882882882,5.0,jordan_goodwin,0.1411764705882353
16.0,0.0,3.0,4.0,0.75,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,6.0,0.0,1.0,0.0,3.0,6.0,9.0,2023-03-07,0.75,4.0,jordan_goodwin,0.14285714285714285
12.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,-0.9,2023-03-14,0.3333333333333333,3.0,jordan_goodwin,0.15584415584415584
19.0,0.0,2.0,4.0,0.5,0.0,2.0,0.0,3.0,5.0,0.6,1.0,2.0,3.0,3.0,1.0,0.0,0.0,3.0,7.0,7.4,2023-03-21,0.564516129032258,9.0,jordan_goodwin,0.25263157894736843
18.0,0.0,5.0,8.0,0.625,0.0,3.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,12.0,8.9,2023-03-22,0.6756756756756757,10.0,jordan_goodwin,0.3065134099616858
30.0,0.0,6.0,11.0,0.545,1.0,4.0,0.25,4.0,5.0,0.8,2.0,3.0,5.0,5.0,2.0,0.0,0.0,1.0,17.0,18.7,2023-03-24,0.6439393939393939,16.0,jordan_goodwin,0.24150943396226415
20.0,0.0,4.0,9.0,0.444,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,4.0,2.0,0.0,1.0,2.0,1.0,9.0,5.6,2023-03-26,0.5,9.0,jordan_goodwin,0.216
11.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,3.4,2023-03-28,0.3333333333333333,3.0,jordan_goodwin,0.11793611793611794
17.0,0.0,2.0,9.0,0.222,1.0,5.0,0.2,2.0,2.0,1.0,2.0,3.0,5.0,5.0,1.0,0.0,2.0,1.0,7.0,5.9,2023-03-31,0.3542510121457489,11.0,jordan_goodwin,0.34130575307045896
24.0,0.0,5.0,11.0,0.455,1.0,3.0,0.333,0.0,0.0,,3.0,4.0,7.0,6.0,1.0,0.0,0.0,2.0,11.0,13.0,2023-04-02,0.5,11.0,jordan_goodwin,0.23655913978494625
28.0,1.0,6.0,16.0,0.375,2.0,4.0,0.5,0.0,0.0,,1.0,3.0,4.0,9.0,0.0,1.0,3.0,2.0,14.0,10.0,2023-04-04,0.4375,16.0,jordan_goodwin,0.22857142857142856
29.0,1.0,4.0,10.0,0.4,0.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,6.0,4.0,1.0,1.0,2.0,10.0,12.3,2023-04-05,0.4595588235294117,12.0,jordan_goodwin,0.17893755824790308
19.0,0.0,3.0,9.0,0.333,0.0,3.0,0.0,0.0,0.0,,2.0,7.0,9.0,4.0,0.0,0.0,1.0,0.0,6.0,6.2,2023-04-07,0.3333333333333333,9.0,jordan_goodwin,0.1879077859939104
29.0,1.0,8.0,14.0,0.571,3.0,8.0,0.375,3.0,4.0,0.75,0.0,5.0,5.0,5.0,2.0,1.0,4.0,3.0,22.0,17.5,2023-04-09,0.6979695431472082,18.0,jordan_goodwin,0.3203559510567297
