MP,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Date,TSA,TS,Player_Name,percentage_of_TS
20.0,0.0,5.0,8.0,0.625,5.0,7.0,0.714,0.0,0.0,,2.0,1.0,3.0,2.0,2.0,2.0,1.0,0.0,15.0,16.9,2023-02-24,0.9375,8.0,delon_wright,0.23132530120481928
30.0,1.0,3.0,4.0,0.75,0.0,0.0,,3.0,3.0,1.0,3.0,0.0,3.0,4.0,0.0,1.0,0.0,3.0,9.0,11.8,2023-02-28,0.8458646616541353,7.0,delon_wright,0.09572649572649573
33.0,1.0,3.0,7.0,0.429,1.0,3.0,0.333,0.0,0.0,,1.0,5.0,6.0,11.0,3.0,0.0,0.0,1.0,7.0,15.8,2023-03-02,0.5,7.0,delon_wright,0.09515717926932879
39.0,1.0,6.0,10.0,0.6,4.0,6.0,0.667,2.0,2.0,1.0,2.0,4.0,6.0,7.0,6.0,1.0,3.0,2.0,18.0,23.8,2023-03-04,0.8272058823529411,12.0,delon_wright,0.1737556561085973
29.0,1.0,4.0,8.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,1.0,2.0,3.0,5.0,2.0,0.0,1.0,1.0,10.0,11.4,2023-03-05,0.5924170616113744,9.0,delon_wright,0.13793103448275862
32.0,1.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,6.0,5.0,1.0,0.0,0.0,3.0,11.4,2023-03-07,0.3073770491803279,6.0,delon_wright,0.10714285714285714
31.0,1.0,3.0,4.0,0.75,0.0,0.0,,1.0,1.0,1.0,1.0,3.0,4.0,5.0,3.0,0.0,2.0,2.0,7.0,10.7,2023-03-08,0.7882882882882882,5.0,delon_wright,0.08324661810613944
29.0,0.0,4.0,6.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,3.0,0.0,1.0,1.0,10.0,13.5,2023-03-10,0.7267441860465116,8.0,delon_wright,0.12855708068295948
16.0,0.0,2.0,4.0,0.5,0.0,0.0,,0.0,0.0,,2.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,4.0,4.8,2023-03-17,0.5,4.0,delon_wright,0.1411764705882353
20.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,4.0,5.7,2023-03-18,0.6944444444444444,4.0,delon_wright,0.1032258064516129
16.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,-0.7,2023-03-21,0.3333333333333333,3.0,delon_wright,0.1
20.0,0.0,3.0,6.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,2.0,0.0,2.0,0.0,1.0,7.0,7.3,2023-03-22,0.5087209302325582,8.0,delon_wright,0.2206896551724138
28.0,0.0,9.0,14.0,0.643,3.0,6.0,0.5,3.0,3.0,1.0,1.0,6.0,7.0,3.0,0.0,0.0,0.0,0.0,24.0,22.4,2023-03-24,0.783289817232376,17.0,delon_wright,0.274932614555256
33.0,1.0,2.0,9.0,0.222,1.0,4.0,0.25,0.0,0.0,,0.0,7.0,7.0,8.0,2.0,0.0,1.0,0.0,5.0,8.2,2023-03-26,0.2777777777777778,9.0,delon_wright,0.13090909090909092
30.0,1.0,3.0,5.0,0.6,1.0,2.0,0.5,1.0,3.0,0.333,0.0,5.0,5.0,2.0,2.0,0.0,1.0,2.0,8.0,8.0,2023-03-28,0.6329113924050632,8.0,delon_wright,0.11531531531531532
32.0,1.0,8.0,15.0,0.533,2.0,6.0,0.333,3.0,3.0,1.0,3.0,6.0,9.0,4.0,1.0,0.0,0.0,2.0,21.0,20.6,2023-03-31,0.6433823529411764,18.0,delon_wright,0.2967032967032967
31.0,1.0,3.0,9.0,0.333,1.0,3.0,0.333,1.0,2.0,0.5,1.0,4.0,5.0,7.0,4.0,0.0,2.0,0.0,8.0,11.3,2023-04-02,0.4048582995951417,11.0,delon_wright,0.18314255983350677
20.0,1.0,4.0,7.0,0.571,0.0,2.0,0.0,3.0,3.0,1.0,0.0,7.0,7.0,4.0,0.0,0.0,0.0,0.0,11.0,12.6,2023-04-07,0.6610576923076923,10.0,delon_wright,0.19834710743801653
