MP,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Date,TSA,TS,Player_Name,percentage_of_TS
15.0,0.0,3.0,6.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,8.0,5.3,2023-02-06,0.5813953488372093,8.0,kendrick_nunn,0.38787878787878793
22.0,0.0,4.0,8.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.0,3.0,3.0,6.0,1.0,0.0,1.0,1.0,10.0,10.7,2023-02-11,0.625,8.0,kendrick_nunn,0.187683284457478
29.0,0.0,5.0,7.0,0.714,2.0,3.0,0.667,1.0,2.0,0.5,0.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,13.0,14.1,2023-02-13,0.8248730964467005,9.0,kendrick_nunn,0.1489655172413793
12.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,5.0,2023-02-16,0.75,2.0,kendrick_nunn,0.07920792079207921
14.0,0.0,2.0,7.0,0.286,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,-0.1,2023-02-26,0.2857142857142857,7.0,kendrick_nunn,0.2857142857142857
15.0,0.0,4.0,8.0,0.5,0.0,2.0,0.0,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,8.0,3.9,2023-02-28,0.5,8.0,kendrick_nunn,0.21880341880341883
17.0,0.0,5.0,13.0,0.385,2.0,7.0,0.286,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,12.0,6.2,2023-03-28,0.4615384615384615,13.0,kendrick_nunn,0.3306836248012719
13.0,0.0,5.0,10.0,0.5,2.0,5.0,0.4,0.0,0.0,,0.0,3.0,3.0,2.0,1.0,1.0,2.0,4.0,12.0,7.4,2023-03-31,0.6,10.0,kendrick_nunn,0.4057480980557904
13.0,0.0,4.0,6.0,0.667,3.0,4.0,0.75,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,11.0,7.0,2023-04-02,0.9166666666666666,6.0,kendrick_nunn,0.23821339950372208
22.0,0.0,9.0,17.0,0.529,5.0,6.0,0.833,1.0,2.0,0.5,1.0,6.0,7.0,6.0,2.0,1.0,1.0,2.0,24.0,22.9,2023-04-04,0.6711409395973155,19.0,kendrick_nunn,0.3454545454545454
26.0,0.0,7.0,17.0,0.412,1.0,6.0,0.167,0.0,0.0,,0.0,1.0,1.0,4.0,0.0,0.0,1.0,2.0,15.0,7.2,2023-04-05,0.4411764705882353,17.0,kendrick_nunn,0.28274428274428276
16.0,0.0,1.0,6.0,0.167,1.0,5.0,0.2,4.0,4.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,7.0,3.9,2023-04-07,0.4510309278350515,10.0,kendrick_nunn,0.24793388429752067
21.0,0.0,4.0,9.0,0.444,2.0,4.0,0.5,2.0,2.0,1.0,1.0,4.0,5.0,3.0,1.0,2.0,4.0,2.0,12.0,8.9,2023-04-09,0.6072874493927125,11.0,kendrick_nunn,0.27035330261136714
