MP,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Date,TSA,TS,Player_Name,percentage_of_TS
37.0,1.0,8.0,20.0,0.4,2.0,4.0,0.5,12.0,13.0,0.923,0.0,15.0,15.0,5.0,0.0,2.0,3.0,3.0,30.0,24.0,2022-12-10,0.583203732503888,33.0,kristaps_porzingis,0.4368450082735797
24.0,1.0,7.0,11.0,0.636,0.0,1.0,0.0,6.0,6.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,5.0,2.0,20.0,13.6,2022-12-12,0.7331378299120235,17.0,kristaps_porzingis,0.425
35.0,1.0,8.0,19.0,0.421,0.0,3.0,0.0,3.0,4.0,0.75,1.0,6.0,7.0,2.0,4.0,0.0,2.0,2.0,19.0,13.6,2022-12-17,0.4576107899807321,23.0,kristaps_porzingis,0.39428571428571424
37.0,1.0,7.0,18.0,0.389,2.0,9.0,0.222,5.0,7.0,0.714,4.0,7.0,11.0,5.0,2.0,1.0,2.0,2.0,21.0,18.7,2022-12-18,0.4981024667931689,25.0,kristaps_porzingis,0.31185031185031187
34.0,1.0,2.0,11.0,0.182,0.0,3.0,0.0,3.0,5.0,0.6,2.0,11.0,13.0,1.0,1.0,2.0,0.0,3.0,7.0,5.9,2022-12-23,0.2651515151515151,16.0,kristaps_porzingis,0.23286840509399637
34.0,1.0,7.0,15.0,0.467,3.0,5.0,0.6,7.0,9.0,0.778,3.0,7.0,10.0,1.0,2.0,3.0,2.0,2.0,24.0,21.7,2022-12-27,0.6329113924050632,24.0,kristaps_porzingis,0.3493026076409946
33.0,1.0,8.0,15.0,0.533,2.0,6.0,0.333,4.0,4.0,1.0,1.0,5.0,6.0,2.0,1.0,1.0,3.0,2.0,22.0,16.2,2022-12-28,0.6563245823389021,19.0,kristaps_porzingis,0.34545454545454546
35.0,1.0,9.0,13.0,0.692,3.0,6.0,0.5,9.0,11.0,0.818,2.0,11.0,13.0,2.0,1.0,4.0,5.0,4.0,30.0,27.0,2022-12-30,0.8408071748878924,24.0,kristaps_porzingis,0.40634920634920635
29.0,1.0,9.0,16.0,0.563,0.0,5.0,0.0,4.0,4.0,1.0,1.0,4.0,5.0,0.0,2.0,2.0,2.0,3.0,22.0,16.5,2023-01-01,0.6193693693693693,20.0,kristaps_porzingis,0.4299149126735333
34.0,1.0,7.0,13.0,0.538,2.0,5.0,0.4,6.0,6.0,1.0,1.0,8.0,9.0,4.0,1.0,1.0,3.0,5.0,22.0,18.3,2023-01-03,0.7033248081841432,19.0,kristaps_porzingis,0.2554621848739496
24.0,1.0,3.0,11.0,0.273,0.0,2.0,0.0,8.0,10.0,0.8,3.0,7.0,10.0,0.0,0.0,0.0,3.0,0.0,14.0,7.9,2023-01-06,0.4545454545454545,21.0,kristaps_porzingis,0.375
33.0,1.0,8.0,16.0,0.5,3.0,5.0,0.6,4.0,4.0,1.0,3.0,7.0,10.0,1.0,0.0,0.0,1.0,0.0,23.0,18.9,2023-01-09,0.6475225225225225,20.0,kristaps_porzingis,0.29684601113172543
