MP,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Date,TSA,TS,Player_Name,percentage_of_TS
17.0,0.0,1.0,4.0,0.25,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,2.5,2023-04-02,0.4098360655737705,6.0,quenton_jackson,0.18216318785578747
22.0,0.0,2.0,5.0,0.4,0.0,1.0,0.0,6.0,6.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,10.0,11.4,2023-04-04,0.6544502617801047,11.0,quenton_jackson,0.19999999999999998
27.0,0.0,4.0,11.0,0.364,0.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,10.0,4.5,2023-04-05,0.4208754208754208,13.0,quenton_jackson,0.20820820820820818
22.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0,10.0,0.6,0.0,1.0,1.0,2.0,0.0,0.0,3.0,2.0,6.0,0.2,2023-04-07,0.4054054054054054,13.0,quenton_jackson,0.23441021788129224
32.0,0.0,9.0,13.0,0.692,0.0,2.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,5.0,2.0,0.0,0.0,3.0,19.0,18.0,2023-04-09,0.6844380403458213,15.0,quenton_jackson,0.24193548387096775
