MP,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Date,TSA,TS,Player_Name,percentage_of_TS
30.0,1.0,7.0,17.0,0.412,2.0,2.0,1.0,6.0,9.0,0.667,0.0,0.0,0.0,4.0,0.0,1.0,2.0,5.0,22.0,11.2,2023-01-24,0.5248091603053435,26.0,bradley_beal,0.3525423728813559
29.0,1.0,7.0,17.0,0.412,0.0,3.0,0.0,3.0,4.0,0.75,0.0,3.0,3.0,4.0,0.0,0.0,2.0,0.0,17.0,9.2,2023-01-25,0.453091684434968,21.0,bradley_beal,0.3218390804597701
32.0,1.0,5.0,17.0,0.294,2.0,6.0,0.333,4.0,5.0,0.8,1.0,3.0,4.0,5.0,0.0,1.0,5.0,1.0,16.0,6.1,2023-01-28,0.4166666666666667,22.0,bradley_beal,0.2972972972972973
29.0,1.0,8.0,14.0,0.571,3.0,6.0,0.5,2.0,2.0,1.0,0.0,7.0,7.0,7.0,0.0,2.0,2.0,1.0,21.0,20.4,2023-01-30,0.7056451612903225,16.0,bradley_beal,0.26220553089791737
32.0,1.0,14.0,25.0,0.56,4.0,10.0,0.4,2.0,2.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,34.0,22.7,2023-02-03,0.6568778979907265,27.0,bradley_beal,0.421875
32.0,1.0,7.0,15.0,0.467,1.0,5.0,0.2,2.0,2.0,1.0,0.0,4.0,4.0,10.0,1.0,3.0,3.0,2.0,17.0,16.8,2023-02-08,0.535264483627204,17.0,bradley_beal,0.2965116279069767
31.0,1.0,13.0,18.0,0.722,4.0,5.0,0.8,2.0,2.0,1.0,1.0,3.0,4.0,6.0,1.0,1.0,5.0,4.0,32.0,25.5,2023-02-11,0.8474576271186441,20.0,bradley_beal,0.33298647242455776
34.0,1.0,13.0,23.0,0.565,3.0,8.0,0.375,4.0,5.0,0.8,1.0,2.0,3.0,4.0,1.0,0.0,4.0,2.0,33.0,22.0,2023-02-13,0.6547619047619048,28.0,bradley_beal,0.3952941176470589
32.0,1.0,7.0,15.0,0.467,1.0,5.0,0.2,4.0,5.0,0.8,0.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,19.0,12.5,2023-02-14,0.5523255813953488,20.0,bradley_beal,0.32967032967032966
34.0,1.0,14.0,28.0,0.5,4.0,8.0,0.5,3.0,3.0,1.0,1.0,5.0,6.0,5.0,3.0,0.0,4.0,2.0,35.0,24.9,2023-02-16,0.596862210095498,31.0,bradley_beal,0.43331391962725685
35.0,1.0,6.0,14.0,0.429,1.0,4.0,0.25,3.0,3.0,1.0,0.0,2.0,2.0,8.0,1.0,2.0,5.0,4.0,16.0,10.6,2023-02-24,0.5221932114882506,17.0,bradley_beal,0.280895008605852
36.0,1.0,7.0,17.0,0.412,1.0,3.0,0.333,3.0,7.0,0.429,1.0,6.0,7.0,8.0,0.0,0.0,3.0,0.0,18.0,12.4,2023-02-26,0.4482071713147411,24.0,bradley_beal,0.38095238095238093
35.0,1.0,17.0,30.0,0.567,1.0,4.0,0.25,2.0,2.0,1.0,0.0,3.0,3.0,7.0,1.0,0.0,2.0,2.0,37.0,26.8,2023-02-28,0.5990932642487047,32.0,bradley_beal,0.37509157509157515
35.0,1.0,5.0,14.0,0.357,3.0,4.0,0.75,2.0,3.0,0.667,0.0,5.0,5.0,5.0,0.0,0.0,4.0,3.0,15.0,6.6,2023-03-02,0.489556135770235,17.0,bradley_beal,0.217890520694259
41.0,1.0,7.0,22.0,0.318,2.0,3.0,0.667,5.0,6.0,0.833,2.0,2.0,4.0,10.0,0.0,2.0,5.0,0.0,21.0,13.4,2023-03-04,0.4261363636363636,28.0,bradley_beal,0.3856527977044476
35.0,1.0,15.0,32.0,0.469,0.0,5.0,0.0,3.0,3.0,1.0,2.0,7.0,9.0,2.0,1.0,0.0,2.0,5.0,33.0,18.5,2023-03-05,0.4951980792316927,35.0,bradley_beal,0.4444444444444444
37.0,1.0,14.0,21.0,0.667,1.0,2.0,0.5,3.0,5.0,0.6,1.0,6.0,7.0,7.0,1.0,1.0,4.0,1.0,32.0,26.8,2023-03-07,0.6896551724137931,26.0,bradley_beal,0.4015444015444016
36.0,1.0,8.0,19.0,0.421,0.0,2.0,0.0,8.0,9.0,0.889,1.0,2.0,3.0,8.0,3.0,1.0,5.0,3.0,24.0,17.9,2023-03-08,0.5226480836236934,28.0,bradley_beal,0.4014336917562724
37.0,1.0,11.0,24.0,0.458,1.0,5.0,0.2,4.0,4.0,1.0,1.0,5.0,6.0,5.0,2.0,1.0,2.0,3.0,27.0,19.8,2023-03-10,0.5240683229813664,28.0,bradley_beal,0.3526633429546051
29.0,1.0,5.0,12.0,0.417,0.0,2.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,13.0,8.2,2023-03-12,0.487987987987988,15.0,bradley_beal,0.2698650674662669
32.0,1.0,8.0,18.0,0.444,1.0,3.0,0.333,5.0,7.0,0.714,1.0,7.0,8.0,5.0,1.0,1.0,3.0,3.0,22.0,15.6,2023-03-17,0.5218216318785579,25.0,bradley_beal,0.4411764705882353
32.0,1.0,8.0,17.0,0.471,2.0,4.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,4.0,3.0,20.0,8.4,2023-03-18,0.5592841163310962,19.0,bradley_beal,0.3064516129032258
31.0,1.0,4.0,15.0,0.267,0.0,4.0,0.0,8.0,10.0,0.8,2.0,3.0,5.0,7.0,0.0,0.0,2.0,6.0,16.0,9.1,2023-03-21,0.4123711340206186,25.0,bradley_beal,0.43010752688172044
