MP,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Date,TSA,TS,Player_Name,percentage_of_TS
26.0,0.0,4.0,5.0,0.8,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,8.0,4.2,2023-04-04,0.8,5.0,xavier_cooks,0.07692307692307693
17.0,0.0,2.0,5.0,0.4,0.0,0.0,,2.0,2.0,1.0,2.0,4.0,6.0,3.0,1.0,1.0,1.0,3.0,6.0,7.5,2023-04-05,0.5102040816326531,7.0,xavier_cooks,0.178060413354531
22.0,0.0,4.0,5.0,0.8,0.0,1.0,0.0,2.0,6.0,0.333,4.0,5.0,9.0,0.0,3.0,0.0,1.0,3.0,10.0,11.6,2023-04-07,0.6544502617801047,11.0,xavier_cooks,0.1983471074380165
38.0,1.0,5.0,11.0,0.455,0.0,0.0,,0.0,2.0,0.0,7.0,7.0,14.0,0.0,2.0,2.0,1.0,2.0,10.0,12.1,2023-04-09,0.4208754208754208,13.0,xavier_cooks,0.17657045840407468
