MP,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Date,TSA,TS,Player_Name,percentage_of_TS
34.0,1.0,8.0,19.0,0.421,3.0,10.0,0.3,3.0,5.0,0.6,1.0,12.0,13.0,2.0,0.0,2.0,2.0,4.0,22.0,14.6,2022-10-19,0.5188679245283019,24.0,kyle_kuzma,0.36828644501278773
33.0,1.0,8.0,16.0,0.5,4.0,8.0,0.5,6.0,7.0,0.857,1.0,5.0,6.0,2.0,0.0,0.0,1.0,1.0,26.0,19.8,2022-10-21,0.6813417190775682,23.0,kyle_kuzma,0.4779220779220779
37.0,1.0,4.0,8.0,0.5,1.0,2.0,0.5,2.0,4.0,0.5,0.0,2.0,2.0,3.0,0.0,2.0,0.0,4.0,11.0,8.7,2022-10-23,0.5635245901639344,12.0,kyle_kuzma,0.2223938223938224
27.0,1.0,9.0,17.0,0.529,0.0,5.0,0.0,7.0,8.0,0.875,0.0,6.0,6.0,1.0,0.0,1.0,3.0,4.0,25.0,14.9,2022-10-25,0.6091617933723197,25.0,kyle_kuzma,0.5228758169934641
37.0,1.0,7.0,19.0,0.368,3.0,7.0,0.429,1.0,1.0,1.0,0.0,9.0,9.0,3.0,1.0,0.0,3.0,4.0,18.0,8.7,2022-10-28,0.4629629629629629,20.0,kyle_kuzma,0.2568905539202569
28.0,1.0,3.0,13.0,0.231,1.0,5.0,0.2,2.0,2.0,1.0,1.0,7.0,8.0,1.0,1.0,0.0,0.0,3.0,9.0,4.4,2022-10-30,0.324207492795389,15.0,kyle_kuzma,0.3339517625231911
32.0,1.0,3.0,5.0,0.6,1.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,7.0,2.0,0.0,1.0,1.0,3.0,9.0,9.1,2022-10-31,0.7653061224489796,7.0,kyle_kuzma,0.12962962962962962
31.0,1.0,8.0,12.0,0.667,2.0,5.0,0.4,0.0,0.0,,2.0,6.0,8.0,4.0,0.0,0.0,4.0,4.0,18.0,13.2,2022-11-02,0.75,12.0,kyle_kuzma,0.21859582542694497
23.0,1.0,5.0,12.0,0.417,3.0,8.0,0.375,6.0,8.0,0.75,0.0,5.0,5.0,2.0,0.0,0.0,1.0,2.0,19.0,12.9,2022-11-04,0.6121134020618557,20.0,kyle_kuzma,0.564042303172738
34.0,1.0,5.0,14.0,0.357,2.0,9.0,0.222,0.0,0.0,,2.0,9.0,11.0,2.0,0.0,1.0,3.0,3.0,12.0,6.2,2022-11-06,0.4285714285714285,14.0,kyle_kuzma,0.29946524064171126
31.0,1.0,9.0,16.0,0.563,1.0,3.0,0.333,1.0,5.0,0.2,0.0,6.0,6.0,1.0,0.0,1.0,2.0,0.0,20.0,12.0,2022-11-07,0.5494505494505495,21.0,kyle_kuzma,0.40143369175627236
41.0,1.0,14.0,26.0,0.538,5.0,11.0,0.455,3.0,3.0,1.0,2.0,9.0,11.0,6.0,1.0,0.0,4.0,2.0,36.0,27.9,2022-11-10,0.6588579795021962,29.0,kyle_kuzma,0.4715447154471545
